AppTimestamp(s),SensorTimestamp(s),Gyr_X,Gyr_Y,Gyr_Z,Label,Latitude,Longitude
3.225,2735686.408,0.00015,-0.0,-0.00046,9,4.8,6
3.244,2735686.427,-0.00107,0.0,0.00015,9,4.8,6
3.263,2735686.446,0.00015,-0.00061,0.00015,9,4.8,6
3.282,2735686.465,-0.00046,8e-05,-0.00046,9,4.8,6
3.301,2735686.484,0.00076,8e-05,0.00015,9,4.8,6
3.321,2735686.504,-0.00046,-0.00053,-0.00046,9,4.8,6
3.339,2735686.523,0.00076,0.00069,-0.00046,9,4.8,6
3.357,2735686.542,-0.00046,8e-05,0.00015,9,4.8,6
3.377,2735686.561,0.00015,0.00015,-0.00046,9,4.8,6
3.396,2735686.58,-0.00107,-0.00046,-0.00046,9,4.8,6
3.415,2735686.599,0.00076,0.00015,-0.00038,9,4.8,6
3.435,2735686.618,0.00015,-0.00046,-0.00038,9,4.8,6
3.454,2735686.637,0.00015,0.00015,-0.00038,9,4.8,6
3.472,2735686.656,0.00015,-0.00046,0.00084,9,4.8,6
3.491,2735686.675,0.00015,0.00015,0.00023,9,4.8,6
3.51,2735686.694,0.00015,0.00023,0.00023,9,4.8,6
3.53,2735686.713,-0.00046,0.00023,0.00023,9,4.8,6
3.55,2735686.732,-0.00046,0.00023,0.00023,9,4.8,6
3.573,2735686.751,-0.00107,0.00023,0.00023,9,4.8,6
3.59,2735686.77,0.00015,0.00023,0.00084,9,4.8,6
3.607,2735686.789,-0.00046,0.00023,0.00084,9,4.8,6
3.626,2735686.808,0.00084,-0.00038,0.00023,9,4.8,6
3.666,2735686.827,-0.00038,-0.00099,-0.00038,9,4.8,6
3.666,2735686.846,0.00023,0.00023,-0.00038,9,4.8,6
3.681,2735686.865,-0.00099,0.00023,-0.00038,9,4.8,6
3.702,2735686.884,0.00023,0.00023,0.00023,9,4.8,6
3.72,2735686.903,-0.00038,0.00023,0.00023,9,4.8,6
3.738,2735686.922,0.00084,0.00084,0.00023,9,4.8,6
3.757,2735686.941,0.00084,0.00023,0.00023,9,4.8,6
3.777,2735686.96,0.00084,0.00023,0.00023,9,4.8,6
3.794,2735686.979,-0.00038,0.00023,0.00023,9,4.8,6
3.816,2735686.998,0.00023,0.00023,0.00023,9,4.8,6
3.835,2735687.017,-0.00038,-0.00046,0.00084,9,4.8,6
3.856,2735687.036,0.00023,0.00015,0.00023,9,4.8,6
3.874,2735687.055,0.00084,0.00015,0.00023,9,4.8,6
3.893,2735687.074,0.00023,-0.00046,-0.00038,9,4.8,6
3.912,2735687.093,0.00145,-0.00046,0.00023,9,4.8,6
3.934,2735687.112,-0.00038,0.00015,0.00023,9,4.8,6
3.951,2735687.131,0.00084,-0.00046,0.00023,9,4.8,6
3.968,2735687.15,-0.00038,-0.00046,0.00015,9,4.8,6
3.988,2735687.169,0.00084,0.00015,0.00015,9,4.8,6
4.006,2735687.188,-0.00038,-0.00046,-0.00046,9,4.8,6
4.028,2735687.207,0.00084,0.00015,-0.00046,9,4.8,6
4.044,2735687.226,0.00023,-0.00046,-0.00046,9,4.8,6
4.063,2735687.245,0.00015,0.00015,-0.00046,9,4.8,6
4.082,2735687.264,-0.00046,0.00015,-0.00046,9,4.8,6
4.101,2735687.283,0.00015,0.00015,8e-05,9,4.8,6
4.119,2735687.302,0.00015,0.00015,8e-05,9,4.8,6
4.137,2735687.321,-0.00107,-0.00046,8e-05,9,4.8,6
4.157,2735687.34,-0.00046,0.00015,-0.00053,9,4.8,6
4.177,2735687.359,-0.00046,0.00015,-0.00115,9,4.8,6
4.196,2735687.378,0.00015,0.00015,8e-05,9,4.8,6
4.217,2735687.398,-0.00053,-0.00046,8e-05,9,4.8,6
4.236,2735687.417,0.00069,0.00015,-0.00053,9,4.8,6
4.254,2735687.436,-0.00053,0.00076,-0.00053,9,4.8,6
4.272,2735687.455,0.00069,0.00015,8e-05,9,4.8,6
4.292,2735687.474,8e-05,-0.00046,-0.00053,9,4.8,6
4.31,2735687.493,0.00069,0.00015,0.00015,9,4.8,6
4.33,2735687.512,-0.00053,-0.00046,0.00015,9,4.8,6
4.349,2735687.531,8e-05,-0.00046,0.00015,9,4.8,6
4.369,2735687.55,8e-05,0.00015,-0.00046,9,4.8,6
4.387,2735687.569,8e-05,0.00015,0.00076,9,4.8,6
4.405,2735687.588,8e-05,-0.00046,0.00076,9,4.8,6
4.426,2735687.607,8e-05,0.00015,0.00076,9,4.8,6
4.443,2735687.626,8e-05,0.00015,0.00015,9,4.8,6
4.463,2735687.645,8e-05,0.00023,-0.00046,9,4.8,6
4.486,2735687.664,0.00069,0.00084,0.00023,9,4.8,6
4.501,2735687.683,8e-05,-0.00038,-0.00038,9,4.8,6
4.52,2735687.702,0.00069,0.00023,-0.00038,9,4.8,6
4.537,2735687.721,-0.00053,-0.00038,-0.00038,9,4.8,6
4.56,2735687.74,8e-05,0.00023,-0.00038,9,4.8,6
4.576,2735687.759,-0.00053,0.00023,0.00023,9,4.8,6
4.596,2735687.778,0.00069,0.00023,-0.00038,9,4.8,6
4.616,2735687.797,8e-05,0.00015,0.00023,9,4.8,6
4.638,2735687.816,0.00069,0.00015,0.00023,9,4.8,6
4.653,2735687.835,-0.00053,0.00015,0.00023,9,4.8,6
4.673,2735687.854,8e-05,-0.00046,0.00023,9,4.8,6
4.69,2735687.873,8e-05,0.00015,0.00023,9,4.8,6
4.709,2735687.892,8e-05,0.00076,0.00023,9,4.8,6
4.728,2735687.911,0.00069,0.00015,0.00023,9,4.8,6
4.748,2735687.93,8e-05,0.00015,-0.00038,9,4.8,6
4.769,2735687.949,8e-05,0.00015,0.00023,9,4.8,6
4.789,2735687.968,-0.00053,0.00015,0.00084,9,4.8,6
4.809,2735687.987,8e-05,0.00015,0.00084,9,4.8,6
4.824,2735688.006,-0.00053,-0.00046,-0.00038,9,4.8,6
4.842,2735688.025,0.00122,0.00015,0.00023,9,4.8,6
4.862,2735688.044,0.0,-0.00046,0.00023,9,4.8,6
4.884,2735688.063,0.00061,0.00015,-0.00038,9,4.8,6
4.9,2735688.082,-0.00061,0.00015,-0.00038,9,4.8,6
4.919,2735688.101,0.00061,0.00015,0.00015,9,4.8,6
4.937,2735688.12,-0.00061,-0.00046,0.00015,9,4.8,6
4.957,2735688.139,0.00061,0.00076,0.00015,9,4.8,6
4.976,2735688.158,-0.0,0.00015,0.00015,9,4.8,6
4.996,2735688.177,-0.0,8e-05,0.00015,9,4.8,6
5.015,2735688.196,-0.0,-0.00053,-0.00046,9,4.8,6
