AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
2.637,2735685.824,0.00987,-0.31525,9.87967,9,4.8,6
2.656,2735685.843,-0.02124,-0.31286,9.87727,9,4.8,6
2.676,2735685.862,-0.02124,-0.31286,9.88206,9,4.8,6
2.694,2735685.881,-0.01645,-0.31765,9.8677,9,4.8,6
2.714,2735685.9,-0.01167,-0.30808,9.87488,9,4.8,6
2.732,2735685.919,0.00269,-0.31765,9.88206,9,4.8,6
2.75,2735685.938,-0.00449,-0.31765,9.87967,9,4.8,6
2.774,2735685.957,-0.02363,-0.32004,9.87488,9,4.8,6
2.79,2735685.976,-0.01884,-0.32004,9.87727,9,4.8,6
2.81,2735685.995,-0.01167,-0.32004,9.88445,9,4.8,6
2.826,2735686.014,-0.01167,-0.31286,9.87488,9,4.8,6
2.847,2735686.033,-0.01645,-0.32722,9.88206,9,4.8,6
2.864,2735686.052,-0.02124,-0.31525,9.87488,9,4.8,6
2.884,2735686.071,-0.00688,-0.31047,9.87488,9,4.8,6
2.902,2735686.09,-0.00927,-0.31286,9.88924,9,4.8,6
2.923,2735686.109,-0.01406,-0.31525,9.88206,9,4.8,6
2.94,2735686.128,-0.01167,-0.31047,9.87727,9,4.8,6
2.96,2735686.147,-0.01167,-0.31525,9.88445,9,4.8,6
2.979,2735686.166,-0.00688,-0.31765,9.88206,9,4.8,6
2.998,2735686.185,-0.01167,-0.32722,9.8677,9,4.8,6
3.015,2735686.204,-0.01645,-0.30329,9.87727,9,4.8,6
3.036,2735686.223,-0.01645,-0.2985,9.88206,9,4.8,6
3.054,2735686.242,-0.00688,-0.32722,9.87967,9,4.8,6
3.075,2735686.261,-0.01645,-0.32722,9.87967,9,4.8,6
3.091,2735686.28,0.0003,-0.32004,9.87967,9,4.8,6
3.111,2735686.299,-0.00449,-0.31286,9.87967,9,4.8,6
3.131,2735686.318,-0.01167,-0.31765,9.8677,9,4.8,6
3.15,2735686.337,-0.01884,-0.31765,9.87727,9,4.8,6
3.168,2735686.356,-0.01167,-0.31765,9.88924,9,4.8,6
3.189,2735686.375,-0.01645,-0.31525,9.88684,9,4.8,6
3.207,2735686.394,-0.01406,-0.31286,9.88206,9,4.8,6
3.225,2735686.413,-0.01645,-0.32243,9.87488,9,4.8,6
3.244,2735686.432,-0.01645,-0.30568,9.88206,9,4.8,6
3.263,2735686.451,-0.00688,-0.31047,9.88924,9,4.8,6
3.283,2735686.47,-0.01884,-0.32483,9.87967,9,4.8,6
3.301,2735686.489,-0.01167,-0.31286,9.88924,9,4.8,6
3.321,2735686.509,-0.01645,-0.31047,9.87967,9,4.8,6
3.339,2735686.528,-0.01645,-0.32004,9.88206,9,4.8,6
3.358,2735686.547,-0.01167,-0.31286,9.87249,9,4.8,6
3.377,2735686.566,-0.00927,-0.31765,9.88206,9,4.8,6
3.396,2735686.585,-0.01645,-0.31525,9.87249,9,4.8,6
3.415,2735686.604,-0.02124,-0.32004,9.87967,9,4.8,6
3.435,2735686.623,-0.01406,-0.31525,9.87967,9,4.8,6
3.454,2735686.642,-0.01406,-0.32483,9.87488,9,4.8,6
3.473,2735686.661,-0.02363,-0.32243,9.88206,9,4.8,6
3.492,2735686.68,-0.01406,-0.31286,9.87967,9,4.8,6
3.51,2735686.699,-0.02124,-0.31525,9.88206,9,4.8,6
3.529,2735686.718,-0.01884,-0.32722,9.88206,9,4.8,6
3.549,2735686.737,-0.01645,-0.31765,9.87249,9,4.8,6
3.572,2735686.756,-0.01884,-0.31525,9.88445,9,4.8,6
3.591,2735686.775,-0.02363,-0.31525,9.87967,9,4.8,6
3.606,2735686.794,-0.02363,-0.31525,9.87009,9,4.8,6
3.625,2735686.813,-0.01167,-0.30568,9.88206,9,4.8,6
3.666,2735686.832,-0.02124,-0.32243,9.87249,9,4.8,6
