AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
2.509,2730091.206,-0.05952,-0.09033,9.87727,4,3,6
2.526,2730091.225,-0.04995,-0.08554,9.88684,4,3,6
2.546,2730091.244,-0.03081,-0.08794,9.88206,4,3,6
2.567,2730091.263,-0.04277,-0.09511,9.89642,4,3,6
2.585,2730091.282,-0.03799,-0.10708,9.88206,4,3,6
2.629,2730091.301,-0.04756,-0.09272,9.87967,4,3,6
2.63,2730091.32,-0.04038,-0.09033,9.87249,4,3,6
2.642,2730091.339,-0.0332,-0.09272,9.88445,4,3,6
2.663,2730091.358,-0.03081,-0.09511,9.88684,4,3,6
2.681,2730091.377,-0.04995,-0.09511,9.88445,4,3,6
2.7,2730091.396,-0.04995,-0.08554,9.87727,4,3,6
2.719,2730091.415,-0.04756,-0.09751,9.87488,4,3,6
2.739,2730091.434,-0.04995,-0.09511,9.87967,4,3,6
2.76,2730091.453,-0.0332,-0.09033,9.88684,4,3,6
2.778,2730091.472,-0.04038,-0.08554,9.88445,4,3,6
2.799,2730091.491,-0.04995,-0.09511,9.89163,4,3,6
2.817,2730091.51,-0.05234,-0.08554,9.88206,4,3,6
2.832,2730091.529,-0.04038,-0.09033,9.88206,4,3,6
2.852,2730091.548,-0.03799,-0.08315,9.88924,4,3,6
2.871,2730091.567,-0.0332,-0.08315,9.87488,4,3,6
2.893,2730091.586,-0.03559,-0.08794,9.88924,4,3,6
2.909,2730091.605,-0.05474,-0.06879,9.87727,4,3,6
2.928,2730091.624,-0.04516,-0.09033,9.87967,4,3,6
2.947,2730091.643,-0.03559,-0.08794,9.88206,4,3,6
2.966,2730091.662,-0.03799,-0.09511,9.88924,4,3,6
2.984,2730091.681,-0.03799,-0.08554,9.88924,4,3,6
3.004,2730091.7,-0.05713,-0.09272,9.88684,4,3,6
3.022,2730091.72,-0.05474,-0.08794,9.88206,4,3,6
3.042,2730091.739,-0.04277,-0.07358,9.88924,4,3,6
3.062,2730091.758,-0.04516,-0.09033,9.87488,4,3,6
3.085,2730091.777,-0.04756,-0.08554,9.88924,4,3,6
3.1,2730091.796,-0.04756,-0.09511,9.88924,4,3,6
3.118,2730091.815,-0.05234,-0.09033,9.87009,4,3,6
3.138,2730091.834,-0.04038,-0.08315,9.88445,4,3,6
3.18,2730091.853,-0.04277,-0.0999,9.87727,4,3,6
3.182,2730091.872,-0.0332,-0.08554,9.88206,4,3,6
3.195,2730091.891,-0.03799,-0.09033,9.88206,4,3,6
3.214,2730091.91,-0.04995,-0.09033,9.88445,4,3,6
3.233,2730091.929,-0.05713,-0.09511,9.87727,4,3,6
3.251,2730091.948,-0.04516,-0.07597,9.89163,4,3,6
3.272,2730091.967,-0.04038,-0.08794,9.87727,4,3,6
3.289,2730091.986,-0.03559,-0.08554,9.88924,4,3,6
3.309,2730092.005,-0.05474,-0.0999,9.87967,4,3,6
3.327,2730092.024,-0.04995,-0.09751,9.87488,4,3,6
3.348,2730092.043,-0.03799,-0.08794,9.88684,4,3,6
3.366,2730092.062,-0.03559,-0.09033,9.87967,4,3,6
3.386,2730092.081,-0.04995,-0.09033,9.88206,4,3,6
3.404,2730092.1,-0.05474,-0.09751,9.88445,4,3,6
3.423,2730092.119,-0.04038,-0.08315,9.88206,4,3,6
3.443,2730092.138,-0.04038,-0.08794,9.87488,4,3,6
3.462,2730092.157,-0.04756,-0.07119,9.88924,4,3,6
3.482,2730092.176,-0.04516,-0.08554,9.87488,4,3,6
3.499,2730092.195,-0.05234,-0.10229,9.88684,4,3,6
3.524,2730092.214,-0.04038,-0.09511,9.87967,4,3,6
3.537,2730092.233,-0.04756,-0.08794,9.87488,4,3,6
3.556,2730092.252,-0.04756,-0.09272,9.87727,4,3,6
3.575,2730092.271,-0.04756,-0.09033,9.87727,4,3,6
3.597,2730092.29,-0.02841,-0.08554,9.88684,4,3,6
3.613,2730092.309,-0.05474,-0.07836,9.87967,4,3,6
3.633,2730092.328,-0.04995,-0.07597,9.88445,4,3,6
3.651,2730092.347,-0.04995,-0.08315,9.87967,4,3,6
3.672,2730092.366,-0.03559,-0.09751,9.88684,4,3,6
3.688,2730092.385,-0.0332,-0.09511,9.88684,4,3,6
3.707,2730092.404,-0.04038,-0.09272,9.88445,4,3,6
3.729,2730092.423,-0.05234,-0.09272,9.88445,4,3,6
3.748,2730092.442,-0.04756,-0.09272,9.88445,4,3,6
3.767,2730092.461,-0.04277,-0.09511,9.88684,4,3,6
3.784,2730092.48,-0.04516,-0.08315,9.87727,4,3,6
3.804,2730092.499,-0.04038,-0.09033,9.88684,4,3,6
3.824,2730092.518,-0.03799,-0.07597,9.88684,4,3,6
3.842,2730092.537,-0.05234,-0.08794,9.88924,4,3,6
3.861,2730092.556,-0.04277,-0.09272,9.88445,4,3,6
3.884,2730092.575,-0.03799,-0.09033,9.87967,4,3,6
3.904,2730092.594,-0.03559,-0.08554,9.88206,4,3,6
3.917,2730092.613,-0.04277,-0.08794,9.87967,4,3,6
3.937,2730092.633,-0.05234,-0.10229,9.88445,4,3,6
3.956,2730092.652,-0.02841,-0.09272,9.88206,4,3,6
3.975,2730092.671,-0.04756,-0.08315,9.88924,4,3,6
3.994,2730092.69,-0.04277,-0.09511,9.87967,4,3,6
4.013,2730092.709,-0.04277,-0.10229,9.88206,4,3,6
4.031,2730092.728,-0.05474,-0.07836,9.87727,4,3,6
4.051,2730092.747,-0.04756,-0.08076,9.88445,4,3,6
4.071,2730092.766,-0.04756,-0.08794,9.88206,4,3,6
4.088,2730092.785,-0.04277,-0.08794,9.88924,4,3,6
4.108,2730092.804,-0.03799,-0.09511,9.89402,4,3,6
4.128,2730092.823,-0.03799,-0.10469,9.88206,4,3,6
4.146,2730092.842,-0.04277,-0.09511,9.88206,4,3,6
4.164,2730092.861,-0.03799,-0.09033,9.87488,4,3,6
4.182,2730092.88,-0.03799,-0.08315,9.88924,4,3,6
4.202,2730092.899,-0.04756,-0.09272,9.87727,4,3,6
4.223,2730092.918,-0.03799,-0.08794,9.87727,4,3,6
4.241,2730092.937,-0.0332,-0.09033,9.87488,4,3,6
4.265,2730092.956,-0.04516,-0.09511,9.89163,4,3,6
4.282,2730092.975,-0.04038,-0.0999,9.87967,4,3,6
4.298,2730092.994,-0.04038,-0.09272,9.88684,4,3,6
4.316,2730093.013,-0.04516,-0.08794,9.88924,4,3,6
4.336,2730093.032,-0.04516,-0.09033,9.89642,4,3,6
4.355,2730093.051,-0.03799,-0.08794,9.88445,4,3,6
4.375,2730093.07,-0.05234,-0.09511,9.88684,4,3,6
4.396,2730093.089,-0.03799,-0.09272,9.88684,4,3,6
4.412,2730093.108,-0.04756,-0.08076,9.87488,4,3,6
4.431,2730093.127,-0.03559,-0.09272,9.88206,4,3,6
4.452,2730093.146,-0.04277,-0.08076,9.89163,4,3,6
4.471,2730093.165,-0.04038,-0.08554,9.88206,4,3,6
4.488,2730093.184,-0.04277,-0.08554,9.88206,4,3,6
4.509,2730093.203,-0.03559,-0.10469,9.87727,4,3,6
4.527,2730093.222,-0.04756,-0.08794,9.89163,4,3,6
4.55,2730093.241,-0.04995,-0.09511,9.88206,4,3,6
4.564,2730093.26,-0.04038,-0.08554,9.88684,4,3,6
4.586,2730093.279,-0.0332,-0.09033,9.88206,4,3,6
4.602,2730093.298,-0.04277,-0.08315,9.88445,4,3,6
4.626,2730093.317,-0.04038,-0.09272,9.87967,4,3,6
4.64,2730093.336,-0.04756,-0.08794,9.88206,4,3,6
4.659,2730093.355,-0.03799,-0.08554,9.88206,4,3,6
4.679,2730093.374,-0.04516,-0.09033,9.89163,4,3,6
4.698,2730093.393,-0.03799,-0.08554,9.88206,4,3,6
4.716,2730093.412,-0.04995,-0.08315,9.88684,4,3,6
4.736,2730093.431,-0.04516,-0.09511,9.87009,4,3,6
4.755,2730093.45,-0.04756,-0.09033,9.87967,4,3,6
4.774,2730093.469,-0.05474,-0.10229,9.88206,4,3,6
4.792,2730093.488,-0.04516,-0.09751,9.88684,4,3,6
4.812,2730093.507,-0.04516,-0.09272,9.88445,4,3,6
4.829,2730093.527,-0.05234,-0.08794,9.88924,4,3,6
4.85,2730093.546,-0.04516,-0.09272,9.88206,4,3,6
4.871,2730093.565,-0.04995,-0.09033,9.88206,4,3,6
4.887,2730093.584,-0.04516,-0.09511,9.87967,4,3,6
4.907,2730093.603,-0.05713,-0.08315,9.88684,4,3,6
4.926,2730093.622,-0.04038,-0.09511,9.88684,4,3,6
4.951,2730093.641,-0.04277,-0.09272,9.88684,4,3,6
4.964,2730093.66,-0.04038,-0.09511,9.88206,4,3,6
4.985,2730093.679,-0.04756,-0.09751,9.88924,4,3,6
5.001,2730093.698,-0.0332,-0.09511,9.87488,4,3,6
5.021,2730093.717,-0.03081,-0.08315,9.88206,4,3,6
5.039,2730093.736,-0.02602,-0.10229,9.87727,4,3,6
