AppTimestamp(s),SensorTimestamp(s),Mag_X,Mag_Y,Mag_Z,Label,Latitude,Longitude
4.676,2724736.153,32.4375,-178.93126,-414.52502,1,0,5.4
4.696,2724736.173,32.5125,-179.00626,-414.58127,1,0,5.4
4.717,2724736.193,32.3625,-178.875,-414.35626,1,0,5.4
4.737,2724736.213,32.53125,-178.6125,-414.26251,1,0,5.4
4.757,2724736.233,32.4375,-178.6125,-414.16876,1,0,5.4
4.78,2724736.253,32.625,-178.59375,-414.05627,1,0,5.4
4.797,2724736.273,32.90625,-178.57501,-414.30002,1,0,5.4
4.816,2724736.293,33.24375,-178.81876,-414.41251,1,0,5.4
4.837,2724736.313,33.2625,-178.70625,-414.45001,1,0,5.4
4.858,2724736.333,33.20625,-178.48126,-414.31876,1,0,5.4
4.88,2724736.353,33.20625,-178.35001,-414.41251,1,0,5.4
4.896,2724736.373,33.16875,-178.57501,-414.28128,1,0,5.4
4.915,2724736.393,33.225,-178.6125,-414.24377,1,0,5.4
4.937,2724736.413,33.0375,-178.57501,-414.35626,1,0,5.4
4.957,2724736.433,32.90625,-178.425,-414.18753,1,0,5.4
4.981,2724736.453,32.68125,-178.36876,-414.05627,1,0,5.4
4.999,2724736.473,32.625,-178.38751,-413.88751,1,0,5.4
5.016,2724736.493,32.8875,-178.65001,-414.01877,1,0,5.4
5.036,2724736.513,33.05625,-178.8,-414.07501,1,0,5.4
5.084,2724736.533,33.09375,-178.83751,-414.07501,1,0,5.4
5.085,2724736.553,33.3,-178.95001,-414.13126,1,0,5.4
5.096,2724736.573,33.46875,-179.00626,-414.22501,1,0,5.4
5.115,2724736.593,33.5625,-179.32501,-414.48752,1,0,5.4
5.136,2724736.613,33.73125,-179.28751,-414.31876,1,0,5.4
5.157,2724736.633,33.88125,-179.3625,-414.43127,1,0,5.4
5.177,2724736.653,33.73125,-179.30626,-414.45001,1,0,5.4
5.2,2724736.673,33.54375,-179.23126,-414.37503,1,0,5.4
5.216,2724736.693,33.61875,-179.11876,-414.39377,1,0,5.4
5.24,2724736.713,33.5625,-179.02501,-414.61877,1,0,5.4
5.257,2724736.733,33.35625,-179.08125,-414.63751,1,0,5.4
5.28,2724736.753,33.1875,-178.96875,-414.43127,1,0,5.4
5.3,2724736.773,33.05625,-178.96875,-414.46878,1,0,5.4
5.316,2724736.793,32.85,-178.72501,-414.31876,1,0,5.4
5.338,2724736.813,32.71875,-178.63126,-414.28128,1,0,5.4
5.358,2724736.833,32.8875,-178.65001,-414.43127,1,0,5.4
5.382,2724736.854,32.85,-178.46251,-414.65628,1,0,5.4
5.4,2724736.873,32.8125,-178.38751,-414.52502,1,0,5.4
5.421,2724736.893,32.925,-178.33125,-414.45001,1,0,5.4
5.436,2724736.913,33.0375,-178.18126,-414.48752,1,0,5.4
5.456,2724736.933,33.13125,-178.14375,-414.58127,1,0,5.4
5.476,2724736.953,33.31875,-178.46251,-414.75003,1,0,5.4
5.496,2724736.973,33.3,-178.38751,-414.73126,1,0,5.4
5.516,2724736.993,33.20625,-178.51875,-414.50626,1,0,5.4
5.54,2724737.013,33.1125,-178.66876,-414.33752,1,0,5.4
5.56,2724737.033,33.2625,-178.6875,-414.18753,1,0,5.4
5.577,2724737.053,33.24375,-178.83751,-414.03751,1,0,5.4
5.596,2724737.073,33.15,-178.96875,-413.98126,1,0,5.4
5.615,2724737.093,32.90625,-178.76251,-413.86877,1,0,5.4
5.636,2724737.113,32.775,-178.70625,-413.83127,1,0,5.4
5.657,2724737.133,32.71875,-178.6125,-413.79376,1,0,5.4
5.681,2724737.153,32.83125,-178.5,-413.86877,1,0,5.4
5.696,2724737.173,33.0375,-178.46251,-413.79376,1,0,5.4
5.717,2724737.193,32.71875,-178.6875,-413.92502,1,0,5.4
5.737,2724737.213,32.68125,-178.51875,-414.01877,1,0,5.4
5.761,2724737.233,32.64375,-178.425,-413.98126,1,0,5.4
5.781,2724737.253,32.925,-178.53751,-414.13126,1,0,5.4
5.798,2724737.273,33.15,-178.44376,-414.09378,1,0,5.4
5.815,2724737.293,33.31875,-178.6125,-414.05627,1,0,5.4
5.836,2724737.313,33.13125,-178.425,-414.09378,1,0,5.4
5.856,2724737.333,32.83125,-178.46251,-414.20627,1,0,5.4
5.876,2724737.353,32.90625,-178.35001,-414.09378,1,0,5.4
5.895,2724737.373,33.1125,-178.3125,-414.24377,1,0,5.4
