AppTimestamp(s),SensorTimestamp(s),Mag_X,Mag_Y,Mag_Z,Label,Latitude,Longitude
5.046,2730093.753,51.0,-169.20001,-420.58127,4,3,6
5.065,2730093.773,51.0,-169.14375,-420.41251,4,3,6
5.086,2730093.793,51.20625,-169.18126,-420.11252,4,3,6
5.106,2730093.813,51.375,-169.425,-420.26251,4,3,6
5.127,2730093.833,51.54375,-169.46251,-420.22501,4,3,6
5.149,2730093.853,51.6375,-169.425,-420.35626,4,3,6
5.176,2730093.873,51.525,-169.3125,-420.16876,4,3,6
5.185,2730093.893,51.61875,-169.3125,-420.16876,4,3,6
5.206,2730093.913,51.50625,-169.35001,-420.15002,4,3,6
5.226,2730093.933,51.3375,-169.21875,-420.05627,4,3,6
5.247,2730093.953,51.3,-169.03125,-420.15002,4,3,6
5.266,2730093.973,51.45,-168.88126,-420.30002,4,3,6
5.287,2730093.993,51.16875,-168.90001,-420.28128,4,3,6
5.308,2730094.013,51.3,-169.06876,-420.24377,4,3,6
5.326,2730094.033,51.35625,-168.88126,-420.24377,4,3,6
5.345,2730094.053,51.375,-169.18126,-420.20627,4,3,6
5.365,2730094.073,51.39375,-169.36876,-420.13126,4,3,6
5.388,2730094.093,51.39375,-169.46251,-420.45001,4,3,6
5.406,2730094.113,51.3,-169.36876,-420.45001,4,3,6
5.427,2730094.133,50.86875,-169.35001,-420.52502,4,3,6
5.446,2730094.153,50.90625,-169.35001,-420.69376,4,3,6
5.466,2730094.173,51.01875,-169.20001,-420.71252,4,3,6
5.485,2730094.193,51.0,-169.35001,-420.82501,4,3,6
5.51,2730094.213,50.71875,-169.33125,-420.86252,4,3,6
5.527,2730094.233,50.60625,-169.14375,-420.90002,4,3,6
5.55,2730094.253,50.49375,-169.29376,-420.91876,4,3,6
5.566,2730094.273,50.775,-169.76251,-420.90002,4,3,6
5.587,2730094.293,50.9625,-169.76251,-420.84378,4,3,6
5.606,2730094.313,51.0375,-169.74376,-420.78751,4,3,6
5.63,2730094.333,50.8125,-169.78125,-420.60001,4,3,6
5.646,2730094.353,50.8875,-169.78125,-420.67502,4,3,6
5.671,2730094.373,51.0375,-169.51875,-420.60001,4,3,6
5.687,2730094.393,51.31875,-169.66876,-420.56253,4,3,6
5.709,2730094.413,51.5625,-169.51875,-420.28128,4,3,6
5.726,2730094.433,51.15,-169.27501,-420.13126,4,3,6
5.745,2730094.453,51.1125,-169.40625,-420.09378,4,3,6
5.768,2730094.473,51.1125,-169.46251,-420.03751,4,3,6
5.785,2730094.493,51.20625,-169.46251,-420.09378,4,3,6
5.807,2730094.513,51.16875,-169.51875,-419.96252,4,3,6
5.827,2730094.533,51.16875,-169.57501,-419.86877,4,3,6
5.847,2730094.553,50.925,-169.36876,-419.90628,4,3,6
5.865,2730094.573,51.01875,-169.40625,-420.03751,4,3,6
5.885,2730094.593,51.3,-169.57501,-420.28128,4,3,6
5.907,2730094.613,51.35625,-169.5,-420.20627,4,3,6
5.93,2730094.633,51.2625,-169.35001,-420.07501,4,3,6
5.948,2730094.653,51.2625,-169.40625,-420.15002,4,3,6
5.966,2730094.673,51.2625,-169.27501,-419.98126,4,3,6
5.985,2730094.693,51.35625,-169.21875,-419.98126,4,3,6
6.006,2730094.713,51.54375,-169.18126,-419.98126,4,3,6
6.026,2730094.733,51.4125,-169.18126,-419.88751,4,3,6
6.047,2730094.753,51.43125,-169.06876,-419.85001,4,3,6
6.07,2730094.773,51.4125,-169.2375,-419.88751,4,3,6
6.087,2730094.793,51.375,-169.33125,-420.24377,4,3,6
6.107,2730094.813,51.28125,-169.33125,-420.33752,4,3,6
6.125,2730094.833,51.24375,-169.46251,-420.56253,4,3,6
6.145,2730094.853,51.24375,-169.51875,-420.69376,4,3,6
6.166,2730094.873,51.375,-169.6875,-420.69376,4,3,6
6.186,2730094.893,51.2625,-169.8,-420.90002,4,3,6
6.206,2730094.913,51.01875,-169.63126,-420.88126,4,3,6
6.23,2730094.933,51.1125,-169.5,-420.82501,4,3,6
6.25,2730094.953,51.16875,-169.44376,-420.58127,4,3,6
6.266,2730094.973,51.20625,-169.36876,-420.56253,4,3,6
6.285,2730094.993,51.20625,-169.40625,-420.43127,4,3,6
6.309,2730095.013,51.31875,-169.38751,-420.54376,4,3,6
6.33,2730095.033,51.05625,-169.35001,-420.67502,4,3,6
6.347,2730095.053,51.0,-169.21875,-420.67502,4,3,6
6.365,2730095.073,50.86875,-169.14375,-420.67502,4,3,6
6.387,2730095.093,50.86875,-169.05,-420.73126,4,3,6
6.406,2730095.113,50.775,-168.99376,-420.65628,4,3,6
6.433,2730095.133,50.7,-168.9375,-420.80627,4,3,6
6.448,2730095.153,50.83125,-168.90001,-420.88126,4,3,6
6.467,2730095.173,50.7,-168.9375,-420.75003,4,3,6
6.488,2730095.193,50.75625,-168.8625,-420.67502,4,3,6
6.507,2730095.213,50.79375,-168.88126,-420.56253,4,3,6
6.527,2730095.233,51.225,-169.125,-420.58127,4,3,6
6.548,2730095.253,51.225,-169.38751,-420.48752,4,3,6
6.565,2730095.273,51.375,-169.38751,-420.78751,4,3,6
6.587,2730095.293,51.3375,-169.425,-420.69376,4,3,6
6.607,2730095.313,51.46875,-169.29376,-420.88126,4,3,6
6.627,2730095.333,51.50625,-169.20001,-420.84378,4,3,6
6.649,2730095.353,51.35625,-169.27501,-420.82501,4,3,6
6.666,2730095.373,51.375,-169.25626,-420.88126,4,3,6
6.685,2730095.393,51.2625,-169.18126,-420.91876,4,3,6
6.706,2730095.413,51.01875,-168.97501,-421.06876,4,3,6
6.729,2730095.433,50.86875,-169.06876,-420.71252,4,3,6
6.748,2730095.453,50.68125,-169.06876,-420.76877,4,3,6
6.766,2730095.473,50.41875,-169.29376,-420.63751,4,3,6
6.785,2730095.493,50.34375,-169.36876,-420.56253,4,3,6
6.806,2730095.513,50.56875,-169.27501,-420.46878,4,3,6
6.826,2730095.533,50.60625,-169.3125,-420.46878,4,3,6
6.85,2730095.553,50.6625,-169.33125,-420.22501,4,3,6
6.869,2730095.573,50.83125,-169.16251,-420.22501,4,3,6
6.887,2730095.593,51.0,-168.91876,-420.37503,4,3,6
6.906,2730095.613,51.39375,-168.91876,-420.31876,4,3,6
6.926,2730095.633,51.4125,-168.97501,-420.46878,4,3,6
6.945,2730095.653,51.525,-168.99376,-420.71252,4,3,6
6.966,2730095.673,51.31875,-169.10626,-420.69376,4,3,6
6.988,2730095.693,51.225,-169.20001,-420.56253,4,3,6
7.006,2730095.713,50.9625,-169.20001,-420.63751,4,3,6
7.026,2730095.733,51.0,-169.51875,-420.54376,4,3,6
7.047,2730095.753,50.98125,-169.72501,-420.61877,4,3,6
7.066,2730095.773,50.94375,-169.76251,-420.45001,4,3,6
7.085,2730095.793,51.0,-169.65001,-420.24377,4,3,6
7.106,2730095.813,50.94375,-169.63126,-420.26251,4,3,6
7.126,2730095.833,51.0375,-169.59375,-420.35626,4,3,6
7.15,2730095.853,51.20625,-169.53751,-420.50626,4,3,6
7.175,2730095.873,51.43125,-169.40625,-420.43127,4,3,6
7.186,2730095.893,51.225,-169.35001,-420.56253,4,3,6
7.208,2730095.913,51.3,-169.38751,-420.60001,4,3,6
7.227,2730095.933,51.24375,-169.425,-420.58127,4,3,6
7.248,2730095.953,51.13125,-169.44376,-420.52502,4,3,6
7.265,2730095.973,51.0375,-169.48126,-420.26251,4,3,6
7.285,2730095.993,51.0375,-169.425,-420.26251,4,3,6
7.305,2730096.013,50.925,-169.25626,-419.94376,4,3,6
7.326,2730096.033,50.8125,-169.2375,-419.92502,4,3,6
7.345,2730096.053,50.83125,-169.35001,-419.64377,4,3,6
7.365,2730096.073,50.75625,-169.35001,-419.47501,4,3,6
7.387,2730096.093,50.75625,-169.35001,-419.47501,4,3,6
7.406,2730096.113,50.85,-169.35001,-419.60626,4,3,6
7.428,2730096.133,50.94375,-169.3125,-419.66251,4,3,6
7.45,2730096.153,50.925,-169.29376,-419.68127,4,3,6
7.469,2730096.173,50.925,-169.35001,-420.07501,4,3,6
7.485,2730096.193,51.1125,-169.57501,-420.15002,4,3,6
7.509,2730096.213,51.09375,-169.59375,-420.35626,4,3,6
7.53,2730096.233,51.1125,-169.48126,-420.63751,4,3,6
7.547,2730096.253,51.15,-169.6125,-420.67502,4,3,6
7.565,2730096.273,51.0375,-169.65001,-420.65628,4,3,6
7.588,2730096.293,50.90625,-169.59375,-421.05002,4,3,6
7.612,2730096.313,50.90625,-169.59375,-421.01251,4,3,6
7.631,2730096.333,51.01875,-169.65001,-420.86252,4,3,6
7.647,2730096.353,50.85,-169.48126,-420.97501,4,3,6
7.669,2730096.373,51.1125,-169.35001,-420.91876,4,3,6
7.686,2730096.393,51.05625,-169.38751,-420.56253,4,3,6
7.705,2730096.413,51.16875,-169.5,-420.54376,4,3,6
7.726,2730096.433,51.39375,-169.35001,-420.45001,4,3,6
7.745,2730096.453,51.45,-169.29376,-420.24377,4,3,6
7.766,2730096.473,51.6375,-169.53751,-420.26251,4,3,6
7.786,2730096.493,51.675,-169.59375,-420.26251,4,3,6
7.807,2730096.513,51.525,-169.66876,-420.20627,4,3,6
7.827,2730096.533,51.39375,-169.53751,-420.16876,4,3,6
7.849,2730096.553,51.24375,-169.48126,-420.41251,4,3,6
7.869,2730096.573,51.09375,-169.2375,-420.52502,4,3,6
7.885,2730096.593,51.05625,-169.10626,-420.61877,4,3,6
7.906,2730096.613,51.1875,-169.33125,-420.48752,4,3,6
7.926,2730096.633,51.09375,-169.14375,-420.46878,4,3,6
7.951,2730096.653,50.75625,-169.06876,-420.45001,4,3,6
7.969,2730096.673,50.86875,-168.99376,-420.28128,4,3,6
7.987,2730096.693,50.86875,-168.99376,-420.37503,4,3,6
8.007,2730096.713,51.075,-169.14375,-420.26251,4,3,6
8.029,2730096.733,51.09375,-169.06876,-420.15002,4,3,6
8.045,2730096.753,51.13125,-169.16251,-420.15002,4,3,6
8.065,2730096.773,51.05625,-169.03125,-420.20627,4,3,6
8.085,2730096.793,51.15,-169.18126,-420.16876,4,3,6
8.106,2730096.813,51.4875,-168.97501,-420.13126,4,3,6
8.126,2730096.833,51.6,-169.18126,-420.24377,4,3,6
8.145,2730096.853,51.61875,-169.48126,-420.16876,4,3,6
8.165,2730096.873,51.45,-169.36876,-420.11252,4,3,6
8.185,2730096.893,51.35625,-169.55626,-420.28128,4,3,6
8.207,2730096.913,51.225,-169.6875,-420.31876,4,3,6
8.227,2730096.933,51.24375,-169.70625,-420.28128,4,3,6
8.25,2730096.953,51.15,-169.5,-420.39377,4,3,6
8.269,2730096.973,51.05625,-169.6875,-420.48752,4,3,6
8.286,2730096.993,51.15,-169.59375,-420.41251,4,3,6
8.308,2730097.013,51.31875,-169.5,-420.41251,4,3,6
8.33,2730097.033,51.39375,-169.51875,-420.46878,4,3,6
8.346,2730097.053,51.35625,-169.425,-420.33752,4,3,6
8.365,2730097.073,51.35625,-169.38751,-420.24377,4,3,6
8.388,2730097.093,51.3375,-169.40625,-420.41251,4,3,6
8.408,2730097.113,51.35625,-169.48126,-420.39377,4,3,6
8.427,2730097.133,51.39375,-169.36876,-420.28128,4,3,6
8.446,2730097.153,51.20625,-169.33125,-420.41251,4,3,6
